Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
SUBARU	Impreza AWD	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	23.000000	30.000000	0.000000	1.000000	0.000000
SUBARU	Impreza Wagon/Outback SPT AWD	0.000000	1.000000	0.000000	0.000000	2.500000	4.000000	23.000000	30.000000	0.000000	1.000000	0.000000
SUBARU	Legacy AWD	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	23.000000	30.000000	0.000000	1.000000	0.000000
SUBARU	Legacy Wagon AWD	0.000000	1.000000	0.000000	0.000000	2.500000	4.000000	23.000000	30.000000	0.000000	1.000000	0.000000
SUBARU	Outback Wagon AWD	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	23.000000	28.000000	1.000000	1.000000	0.000000
TOYOTA	Camry Solara	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	23.000000	32.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta Wagon	0.000000	1.000000	0.000000	1.000000	2.000000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
CHEVROLET	Malibu	0.000000	0.000000	0.000000	1.000000	3.500000	6.000000	22.000000	32.000000	0.000000	0.000000	0.000000
CHEVROLET	Malibu MAXX	0.000000	0.000000	0.000000	1.000000	3.500000	6.000000	22.000000	30.000000	0.000000	0.000000	0.000000
PONTIAC	G6	0.000000	0.000000	0.000000	1.000000	3.500000	6.000000	22.000000	32.000000	0.000000	0.000000	0.000000
TOYOTA	Avalon	0.000000	0.000000	0.000000	1.000000	3.500000	6.000000	22.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	GTI	0.000000	0.000000	0.000000	0.000000	2.800000	6.000000	22.000000	29.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	0.000000	2.500000	5.000000	22.000000	30.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	1.000000	2.500000	5.000000	22.000000	30.000000	0.000000	0.000000	0.000000
VOLVO	S40 FWD	0.000000	0.000000	0.000000	0.000000	2.400000	5.000000	22.000000	29.000000	0.000000	0.000000	0.000000
VOLVO	S40 FWD	0.000000	0.000000	0.000000	1.000000	2.400000	5.000000	22.000000	30.000000	0.000000	0.000000	0.000000
VOLVO	S40 FWD	0.000000	0.000000	0.000000	0.000000	2.500000	5.000000	22.000000	31.000000	0.000000	0.000000	0.000000
VOLVO	S60 FWD	0.000000	0.000000	0.000000	0.000000	2.400000	5.000000	22.000000	29.000000	0.000000	0.000000	0.000000
VOLVO	V50 FWD	0.000000	1.000000	0.000000	0.000000	2.400000	5.000000	22.000000	29.000000	0.000000	0.000000	0.000000
VOLVO	V50 FWD	0.000000	1.000000	0.000000	1.000000	2.400000	5.000000	22.000000	30.000000	0.000000	0.000000	0.000000
VOLVO	V50 FWD	0.000000	1.000000	0.000000	0.000000	2.500000	5.000000	22.000000	31.000000	0.000000	0.000000	0.000000
VOLVO	V70 FWD	0.000000	1.000000	0.000000	0.000000	2.400000	5.000000	22.000000	29.000000	0.000000	0.000000	0.000000
ACURA	TSX	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	22.000000	31.000000	0.000000	0.000000	0.000000
AUDI	A4	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	22.000000	31.000000	0.000000	0.000000	0.000000
AUDI	A4 Avant Quattro	0.000000	1.000000	0.000000	0.000000	2.000000	4.000000	22.000000	31.000000	0.000000	0.000000	0.000000
AUDI	A4 Avant Quattro	0.000000	1.000000	0.000000	1.000000	2.000000	4.000000	22.000000	30.000000	0.000000	0.000000	0.000000
AUDI	A4 Quattro	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	22.000000	31.000000	0.000000	0.000000	0.000000
AUDI	A4 Quattro	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	22.000000	30.000000	0.000000	0.000000	0.000000
CHEVROLET	Optra	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	22.000000	30.000000	0.000000	0.000000	0.000000
CHEVROLET	Optra	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	22.000000	30.000000	0.000000	0.000000	0.000000
CHEVROLET	Optra 5	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	22.000000	30.000000	0.000000	0.000000	0.000000
